variable,mean_importance,sd_importance
det_tkeo_std_3_coef,5.338591173106906e-4,3.812578412232896e-5
std_mfcc_1st_coef,5.324186179445409e-4,4.064513040961707e-5
tqwt_tkeo_std_dec_31,5.319935889209918e-4,2.9654268830850367e-5
tqwt_skewness_value_dec_15,5.295303902625778e-4,6.621375694416087e-5
tqwt_energy_dec_5,5.280651832518564e-4,3.362911686073871e-5
det_entropy_log_1_coef,5.256732357054336e-4,4.315244200667083e-5
tqwt_mean_value_dec_9,5.239935909796459e-4,3.895268874236109e-5
std_1st_delta,5.236412182322134e-4,3.483660508022375e-5
mean_mfcc_7th_coef,5.224445372307858e-4,4.0979991669105416e-5
b3,5.211588007617893e-4,4.016676820480681e-5
